Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,0.0,ORtg,DRtg
556,Gabe Vincent\vincega01,PG,25,MIA,68,27,1589,6.7,16.2,.417,3.7,10.2,.368,3.0,6.0,.500,1.4,1.7,.815,0.7,3.3,4.0,6.6,2.0,0.4,3.1,5.0,18.6,0.0,107,111
557,Nikola Vučević\vucevni01,C,31,CHI,73,73,2418,11.0,23.3,.473,2.1,6.7,.314,8.9,16.6,.537,1.9,2.4,.760,2.9,13.4,16.2,4.8,1.4,1.4,2.7,3.7,26.0,0.0,107,110
558,Dean Wade\wadede01,PF,25,CLE,51,28,980,5.0,11.1,.456,2.6,7.2,.359,2.4,3.8,.640,1.0,1.5,.667,1.6,6.1,7.6,2.6,1.5,0.4,0.8,4.5,13.7,0.0,122,111
559,Franz Wagner\wagnefr01,SF,20,ORL,79,79,2429,9.1,19.4,.468,1.9,5.4,.354,7.2,14.0,.511,3.8,4.4,.863,1.7,5.4,7.1,4.6,1.4,0.7,2.4,3.3,23.8,0.0,110,114
560,Moritz Wagner\wagnemo01,C,24,ORL,63,3,960,9.9,20.0,.497,3.3,10.1,.328,6.6,9.8,.672,5.2,6.5,.806,2.1,9.6,11.7,4.4,1.0,0.7,2.8,6.2,28.4,0.0,118,112
561,Ish Wainright\wainris01,PF,27,PHO,45,0,359,5.5,13.9,.394,2.5,7.9,.322,2.9,6.0,.489,0.9,1.6,.583,3.6,3.6,7.2,2.0,2.7,0.8,1.7,6.6,14.5,0.0,104,107
562,Kemba Walker\walkeke02,PG,31,NYK,37,37,948,7.9,19.5,.403,3.9,10.5,.367,4.0,9.0,.444,3.2,3.7,.845,0.7,5.1,5.9,6.9,1.4,0.4,2.5,2.0,22.7,0.0,112,113
563,Lonnie Walker IV\walkelo01,SG,23,SAS,70,6,1612,9.3,22.7,.407,3.3,10.5,.314,6.0,12.2,.487,3.5,4.4,.784,0.5,4.9,5.4,4.5,1.3,0.6,2.1,2.9,25.3,0.0,103,115
564,M.J. Walker\walkemj01,SG,23,PHO,2,0,8,0.0,24.1,.000,0.0,12.0,.000,0.0,12.0,.000,0.0,0.0,0.0,0.0,6.0,6.0,6.0,12.0,0.0,0.0,6.0,0.0,0.0,18,86
565,Tyrone Wallace\wallaty01,SG,27,NOP,6,0,75,4.6,13.2,.350,1.3,5.3,.250,3.3,7.9,.417,0.7,3.3,.200,0.0,5.3,5.3,0.7,2.0,0.7,1.3,4.6,11.2,0.0,75,114
